rebalance_date,train_start,train_end,oos_return
2022-01-31,2017-01-31,2022-01-31,-0.0622285440517916
2022-02-28,2017-02-28,2022-02-28,-0.03882272806339679
2022-03-28,2017-03-28,2022-03-28,0.0669702174340438
2022-04-28,2017-04-28,2022-04-28,-0.0948857409573085
2022-05-28,2017-05-28,2022-05-28,-0.041691751415146944
2022-06-28,2017-06-28,2022-06-28,-0.028978709143822664
2022-07-28,2017-07-28,2022-07-28,0.026432869073376067
2022-08-28,2017-08-28,2022-08-28,-0.030632210816483853
2022-09-28,2017-09-28,2022-09-28,-0.06305224565056196
2022-10-28,2017-10-28,2022-10-28,0.07272373849578809
2022-11-28,2017-11-28,2022-11-28,0.060438336453903764
2022-12-28,2017-12-28,2022-12-28,-0.05216273044717352
2023-01-28,2018-01-28,2023-01-28,0.02328077116348692
2023-02-28,2018-02-28,2023-02-28,-0.018906277791489522
2023-03-28,2018-03-28,2023-03-28,-0.03517989524634613
2023-04-28,2018-04-28,2023-04-28,-0.03538325782855489
2023-05-28,2018-05-28,2023-05-28,0.030198649652750133
2023-06-28,2018-06-28,2023-06-28,0.015679941393771567
2023-07-28,2018-07-28,2023-07-28,0.03513304556329369
2023-08-28,2018-08-28,2023-08-28,0.0032430320289826295
2023-09-28,2018-09-28,2023-09-28,0.03530039862836834
2023-10-28,2018-10-28,2023-10-28,-0.04119910653916555
2023-11-28,2018-11-28,2023-11-28,0.03807232401633344
2023-12-28,2018-12-28,2023-12-28,0.08081372865080128
2024-01-28,2019-01-28,2024-01-28,0.02058812641680766
2024-02-28,2019-02-28,2024-02-28,0.06263171545070594
2024-03-28,2019-03-28,2024-03-28,-0.06202667622187903
2024-04-28,2019-04-28,2024-04-28,-0.019366272069315144
2024-05-28,2019-05-28,2024-05-28,-0.02728652465630194
2024-06-28,2019-06-28,2024-06-28,0.06743010612981874
2024-07-28,2019-07-28,2024-07-28,0.1258393183579578
2024-08-28,2019-08-28,2024-08-28,0.037924072025396945
2024-09-28,2019-09-28,2024-09-28,-0.0610054012711507
2024-10-28,2019-10-28,2024-10-28,-0.06834473097099301
2024-11-28,2019-11-28,2024-11-28,0.07118260396089482
2024-12-28,2019-12-28,2024-12-28,-0.03524929816948165
2025-01-28,2020-01-28,2025-01-28,-0.1422630343098815
2025-02-28,2020-02-28,2025-02-28,-0.142662570606674
2025-03-28,2020-03-28,2025-03-28,0.02115374540877383
2025-04-28,2020-04-28,2025-04-28,0.034059266190307365
2025-05-28,2020-05-28,2025-05-28,0.01931524505102431
2025-06-28,2020-06-28,2025-06-28,0.03013547386791011
2025-07-28,2020-07-28,2025-07-28,-0.03163048556495757
2025-08-28,2020-08-28,2025-08-28,-0.014661713350170164
2025-09-28,2020-09-28,2025-09-28,0.005867873592744177
2025-10-28,2020-10-28,2025-10-28,0.044075170316760136
2025-11-28,2020-11-28,2025-11-28,0.023820221928897444
